YEAR_MONTH,COMPANY_CODE_DESC,CUSTOMER,DIVISION_NAME,SALES,COGS,GROSS_PROFIT,OPERATING_EXPENSE,OPERATING_INCOME,NPAT,EBITDA
2022-10-01,RUNFAST GO,3000001618,Non Bulk Transport & Rental,35.7,42.6,-6.9,5.5,-12.3,-23.1,-12.2
2022-10-01,RUNFAST GO,3000005216,Non Bulk Transport & Rental,277.5,288.3,-10.9,42.7,-53.4,-127.1,-52
2022-10-01,RUNFAST GO,3000018615,Non Bulk Transport & Rental,33.9,34.8,-0.9,5.4,-6.3,-48.3,-6.2
2022-10-01,RUNFAST GO,3000005420,Bulk Transportation,176,158,18.1,19.9,-1.9,-472.1,0
2022-10-01,RUNFAST GO,3000013716,Bulk Transportation,1501.1,1171,330.1,169.9,160.2,157.4,164.1
2022-10-01,RUNFAST GO,3000014348,Non Bulk Transport & Rental,44,31,13,3.8,9.3,3,13.1
2022-10-01,RUNFAST GO,3000002443,Non Bulk Transport & Rental,211.5,170,41.5,27.3,14.3,-54.6,26.3
2022-10-01,RUNFAST GO,3000015441,Non Bulk Transport & Rental,16.4,13,3.4,1.4,2,-8.1,3.7
2022-10-01,RUNFAST GO,3000018782,Non Bulk Transport & Rental,150.7,147.2,3.5,13.1,-9.6,-94.2,-8.4
2022-10-01,RUNFAST GO,3000004561,Bulk Transportation,226.7,182.6,44.1,109.5,-65.4,273.5,-54
2022-10-01,RUNFAST GO,3000002542,Non Bulk Transport & Rental,13.1,18.3,-5.3,2,-7.3,-25,-7
2022-10-01,RUNFAST GO,3000022709,Non Bulk Transport & Rental,96.7,59.7,37,14.4,22.7,42,31.2
2022-10-01,RUNFAST GO,3000004834,Non Bulk Transport & Rental,31.3,24.6,6.7,4.8,1.9,20.2,3.2
2022-10-01,RUNFAST GO,3000020488,Non Bulk Transport & Rental,4.4,5.4,-1,0.7,-1.6,-4.3,-1.6
2022-10-01,RUNFAST GO,3000020491,Non Bulk Transport & Rental,1.6,1.9,-0.3,0.2,-0.6,-1.7,-0.5
2022-10-01,RUNFAST GO,3000022978,Non Bulk Transport & Rental,1,0.5,0.4,0.1,0.3,0.3,0.3
2022-10-01,RUNFAST GO,3000003715,Non Bulk Transport & Rental,3.5,3.7,-0.2,0.5,-0.7,-7.3,-0.7
2022-10-01,RUNFAST GO,3000003865,Non Bulk Transport & Rental,21.5,23.1,-1.6,3.3,-4.9,-11.3,-4.8
2022-10-01,RUNFAST GO,3000021742,Bulk Transportation,390.6,370.3,20.3,44.4,-24,-51,-23
2022-10-01,RUNFAST GO,3000019640,Non Bulk Transport & Rental,3.9,2.1,1.8,0.3,1.5,-0.5,1.7
2022-11-01,RUNFAST GO,3000013716,Bulk Transportation,441.6,441.9,-0.3,0,-0.3,-0.3,-0.3
2022-11-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1064.3,753.6,310.6,0,310.6,310.6,310.6
2022-11-01,RUNFAST GO,3000017758,Non Bulk Transport & Rental,58.4,48.5,10,0,10,10,10
2022-11-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,14.1,6.9,7.2,0,7.2,7.2,7.2
2022-11-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,157.4,92.6,64.8,0,64.8,64.8,64.8
2022-11-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,9.8,5.9,3.8,0,3.8,3.8,3.8
2022-11-01,RUNFAST GO,3000021708,Non Bulk Transport & Rental,7.5,6.2,1.3,0,1.3,1.3,1.3
2022-11-01,RUNFAST GO,3000020660,Non Bulk Transport & Rental,15.6,10.9,4.8,0,4.8,4.8,4.8
2022-11-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,16.8,11.8,5,0,5,5,5
2022-11-01,RUNFAST GO,3000015715,Non Bulk Transport & Rental,25.5,19.7,5.9,0,5.9,5.9,5.9
2022-11-01,RUNFAST GO,3000004398,Non Bulk Transport & Rental,12.2,10.5,1.8,0,1.8,1.8,1.8
2022-11-01,RUNFAST GO,3000005848,Non Bulk Transport & Rental,7.8,6.1,1.7,0,1.7,1.7,1.7
2022-11-01,RUNFAST GO,3000021044,Non Bulk Transport & Rental,5.2,3.9,1.2,0,1.2,1.2,1.2
2022-11-01,RUNFAST GO,3000007677,Non Bulk Transport & Rental,17.7,6.7,11,0,11,11,11
2022-11-01,RUNFAST GO,3000016749,Non Bulk Transport & Rental,12.8,9.1,3.7,0,3.7,3.7,3.7
2022-11-01,LIQUIDTANK,3000021232,Liquid Warehouse,37.5,11.4,26.1,0,26.1,26.1,26.1
2022-10-01,STORE ALL PRO,3000015283,Package Warehouse,1.6,1.7,-0.1,0.2,-0.3,-0.1,-0.2
2022-10-01,STORE ALL PRO,3000012147,Package Warehouse,2.7,3,-0.3,0.4,-0.7,0.2,-0.4
2022-10-01,STORE ALL PRO,3000016583,Package Warehouse,21.8,4.7,17.1,3.2,13.9,-29.8,14.9
2022-10-01,STORE ALL PRO,3000018702,Package Warehouse,93.2,36.5,56.7,13.6,43.1,-101.3,48.5
2022-10-01,STORE ALL PRO,8000000027,Package Warehouse,2320.9,989.5,1331.4,342.2,989.2,942.4,1084.8
2022-10-01,STORE ALL PRO,3000007612,Package Warehouse,3.1,1.8,1.3,0.4,0.9,-2.4,1
2022-10-01,STORE ALL PRO,3000007907,Package Warehouse,2.4,0.9,1.5,0.3,1.2,-1.5,1.3
2022-10-01,STORE ALL PRO,3000020184,Package Warehouse,63.9,59,5,9.4,-4.3,-12.2,1.2
2022-10-01,STORE ALL PRO,3000017758,Package Warehouse,123.6,108.1,15.5,17.7,-2.3,-32,7.4
2022-10-01,STORE ALL PRO,3000003459,Package Warehouse,31.1,22.1,9,4.5,4.5,-17.6,6.4
2022-10-01,STORE ALL PRO,3000020798,Package Warehouse,4.3,1.6,2.7,0.6,2.1,-4.9,2.3
2022-10-01,STORE ALL PRO,3000019518,Package Warehouse,270.5,137,133.4,41.2,92.2,-182,104.8
2022-10-01,STORE ALL PRO,3000007550,Package Warehouse,923.7,573.4,350.2,147.9,202.3,-529.4,267.3
2022-10-01,STORE ALL PRO,3000017774,Package Warehouse,50.2,97.2,-47,7.4,-54.3,70.8,-50.3
2022-10-01,STORE ALL PRO,3000021485,Bulk Warehouse,22.2,29.1,-6.9,28.8,-35.6,-34.3,-31.8
2022-10-01,STORE ALL PRO,8000000015,Package Warehouse,32.5,21.5,11.1,6.1,4.8,7.2,7.6
2022-10-01,STORE ALL PRO,3000018793,Package Warehouse,10.2,4.5,5.7,2.3,3.4,3.3,4.2
2022-10-01,STORE ALL PRO,3000020764,Package Warehouse,55.8,43.2,12.4,11.2,1.4,1.8,4.8
2022-10-01,STORE ALL PRO,3000005279,Package Warehouse,63,29.2,33.7,14.1,19.6,19.1,24.6
2022-10-01,STORE ALL PRO,8000000010,Package Warehouse,1037.9,966.6,71.3,159.2,-87.9,-9.1,-6.9
2022-10-01,STORE ALL PRO,3000006166,Package Warehouse,49.6,27.4,22.2,11.1,11,11,14.1
2022-10-01,STORE ALL PRO,3000016576,Package Warehouse,455.6,311.4,144.2,102.7,41.5,45.6,70
2022-10-01,STORE ALL PRO,3000014566,Package Warehouse,2.9,1.1,1.8,0.7,1.1,1.1,1.3
2022-10-01,STORE ALL PRO,3000009456,Package Warehouse,227.4,161.4,66.1,40.2,25.8,22.4,45.1
2022-10-01,STORE ALL PRO,8000000010,Bulk Warehouse,179.9,657.8,-477.8,53.8,-531.7,752.8,-521.3
2022-10-01,STORE ALL PRO,3000011671,Bulk Warehouse,1542.1,1291.2,250.8,478,-227.2,-291.3,-99.3
2022-10-01,STORE ALL PRO,3000008124,Package Warehouse,435.3,324.9,110.4,64.2,46.2,35.1,63.2
2022-10-01,STORE ALL PRO,3000001618,Package Warehouse,141.7,129.8,11.8,20.9,-9.1,-13.7,-0.2
2022-10-01,STORE ALL PRO,3000007677,Package Warehouse,30.8,22,8.8,4.5,4.3,3.6,6.8
2022-10-01,STORE ALL PRO,3000007728,Package Warehouse,5.9,3.5,2.4,0.9,1.5,1.3,1.9
2022-10-01,STORE ALL PRO,3000002046,Package Warehouse,77.9,86.2,-8.2,11.5,-19.7,51.1,-15.8
2022-10-01,STORE ALL PRO,3000005193,Package Warehouse,902.4,894.5,7.9,132.6,-124.7,-170.1,-9.9
2022-10-01,STORE ALL PRO,3000012293,Package Warehouse,13.5,5.1,8.4,2.5,6,5.6,6.5
2022-10-01,STORE ALL PRO,3000009257,Package Warehouse,239.5,172.8,66.6,42.8,23.8,23.8,32.3
2022-10-01,STORE ALL PRO,3000019640,Package Warehouse,5.4,4.4,0.9,1,0,-0.2,0.2
2022-10-01,STORE ALL PRO,3000022075,Package Warehouse,16.5,8.3,8.2,2.4,5.8,-15.1,7
2022-10-01,STORE ALL PRO,3000022872,Package Warehouse,1.7,0.6,1.1,0.3,0.9,-2,1
2022-10-01,STORE ALL PRO,3000007662,Package Warehouse,693.7,453.5,240.2,101.6,138.6,-464.2,189
2022-10-01,STORE ALL PRO,3000022775,Package Warehouse,315.3,302.4,13,46,-33.1,-56.2,-18.8
2022-10-01,STORE ALL PRO,3000004974,Package Warehouse,138.7,308.3,-169.6,20.2,-189.8,262.7,-178
2022-10-01,STORE ALL PRO,8000000065,Package Warehouse,1.7,0,1.7,0.4,1.3,1.3,1.4
2022-10-01,RUNFAST GO,3000015715,Non Bulk Transport & Rental,68.3,59.3,9,7.3,1.7,-3,1.9
2022-10-01,RUNFAST GO,3000005848,Non Bulk Transport & Rental,84.5,90.6,-6.1,9,-15.1,-28.6,-14.9
2022-11-01,RUNFAST GO,3000000709,Non Bulk Transport & Rental,195.2,22,173.2,0,173.2,173.2,173.2
2022-11-01,RUNFAST GO,3000020661,Non Bulk Transport & Rental,7.8,5.6,2.2,0,2.2,2.2,2.2
2022-11-01,RUNFAST GO,3000019518,Non Bulk Transport & Rental,60.2,36.1,24.3,0,24.3,24.3,24.3
2022-11-01,RUNFAST GO,3000005135,Non Bulk Transport & Rental,60,24.7,35.3,0,35.3,35.3,35.3
2022-11-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,54.9,24.3,30.6,0,30.6,30.6,30.6
2022-11-01,RUNFAST GO,3000018166,Non Bulk Transport & Rental,7.4,0,7.4,0,7.4,7.4,7.4
2022-11-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,124.6,25.6,99,0,99,99,99
2022-11-01,RUNFAST GO,3000014429,Non Bulk Transport & Rental,50.1,27.4,22.7,0,22.7,22.7,22.7
2022-11-01,RUNFAST GO,3000000758,Non Bulk Transport & Rental,8,3.5,4.5,0,4.5,4.5,4.5
2022-11-01,RUNFAST GO,3000006580,Non Bulk Transport & Rental,4.7,2.5,2.1,0,2.1,2.1,2.1
2022-11-01,RUNFAST GO,3000020764,Non Bulk Transport & Rental,12.6,6.8,5.8,0,5.8,5.8,5.8
2022-11-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,48.5,30.2,18.3,0,18.3,18.3,18.3
2022-11-01,RUNFAST GO,3000021173,Non Bulk Transport & Rental,29.9,18.5,11.4,0,11.4,11.4,11.4
2022-11-01,RUNFAST GO,3000007370,Export Import,24,16.2,7.8,0,7.8,7.8,7.8
2022-11-01,RUNFAST GO,3000019518,Export Import,32.3,25.1,7.3,0,7.3,7.3,7.3
2022-11-01,RUNFAST GO,3000009257,Export Import,368.4,322.2,46.2,0,46.2,46.2,46.2
2022-11-01,STORE ALL PRO,3000020580,Package Warehouse,26.5,0,26.5,0,26.5,26.5,26.5
2022-11-01,STORE ALL PRO,3000019518,Package Warehouse,6.9,0,6.9,0,6.9,6.9,6.9
2022-11-01,STORE ALL PRO,3000007550,Package Warehouse,5.1,0,5.1,0,5.1,5.1,5.1
2022-11-01,STORE ALL PRO,8000000027,Package Warehouse,186.8,0,186.8,0,186.8,186.8,186.8
2022-09-01,RUNFAST GO,3000009257,Export Import,1676.7,1119.4,557.4,213.6,343.7,365.8,355.3
2022-09-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1346.2,1283.6,62.6,150.5,-87.7,-93.7,-62.7
2022-09-01,STORE ALL PRO,3000004974,Package Warehouse,159.5,368.3,-208.7,24.4,-233.1,-295.8,-214
2022-09-01,STORE ALL PRO,3000020798,Package Warehouse,5.6,2.1,3.6,0.9,2.7,4.1,3
2022-09-01,STORE ALL PRO,3000007550,Package Warehouse,701.8,610.8,90.9,134.4,-43.5,-18.2,26.8
2022-09-01,STORE ALL PRO,3000002046,Package Warehouse,83.6,127.1,-43.5,14.4,-57.9,-77.8,-53.2
2022-09-01,STORE ALL PRO,3000022075,Package Warehouse,4.7,1.3,3.4,0.7,2.7,4.2,3
2022-09-01,STORE ALL PRO,3000015283,Package Warehouse,2.9,1.8,1,0.4,0.6,1.1,0.7
2022-09-01,STORE ALL PRO,3000007612,Package Warehouse,3.1,2,1.1,0.5,0.6,1.1,0.7
2022-09-01,STORE ALL PRO,3000012147,Package Warehouse,3.3,2.1,1.1,0.5,0.6,1.2,0.8
2022-09-01,STORE ALL PRO,3000016583,Package Warehouse,21.9,5.3,16.6,3.4,13.2,19.8,14.3
2022-09-01,STORE ALL PRO,3000017774,Package Warehouse,38.5,85.6,-47.1,5.9,-53,-68.6,-48.9
2022-09-01,STORE ALL PRO,3000018702,Package Warehouse,103.2,35.5,67.7,15.7,52,80.8,58.1
2022-09-01,STORE ALL PRO,8000000027,Package Warehouse,1044.6,814.5,230.1,204.7,25.4,32.1,83.3
2022-09-01,STORE ALL PRO,3000007907,Package Warehouse,9.1,1.1,8.1,1.4,6.7,9.7,7.1
2022-09-01,STORE ALL PRO,3000020093,Package Warehouse,5.1,1.5,3.6,0.8,2.8,4.2,3.1
2022-09-01,STORE ALL PRO,3000020184,Package Warehouse,24,20.8,3.2,3.7,-0.5,3.1,1.9
2022-09-01,STORE ALL PRO,3000017758,Package Warehouse,169.7,148.5,21.2,25.9,-4.7,16.1,8.3
2022-09-01,STORE ALL PRO,3000019518,Package Warehouse,250.6,179.9,70.6,42.6,28,50.3,43.1
2022-09-01,STORE ALL PRO,3000007662,Package Warehouse,444.1,362.7,81.4,67.7,13.7,73.7,46.2
2022-09-01,STORE ALL PRO,3000003459,Package Warehouse,28.1,22.6,5.6,4.3,1.3,5.3,3.3
2022-09-01,STORE ALL PRO,8000000010,Bulk Warehouse,1039,705,334,288.5,45.5,163.8,103.7
2022-09-01,STORE ALL PRO,3000011671,Bulk Warehouse,1419.4,1268.8,150.6,371.1,-220.5,-119.2,-101.7
2022-09-01,STORE ALL PRO,3000008984,Bulk Warehouse,974.3,737.2,237.1,196.1,41,48,89.2
2022-09-01,STORE ALL PRO,3000004560,Bulk Warehouse,520.5,166.6,353.9,113.3,240.6,376.4,266.7
2022-09-01,STORE ALL PRO,3000000709,Package Warehouse,314.8,84.5,230.3,49.2,181.2,270.9,196.1
2022-09-01,STORE ALL PRO,8000000010,Package Warehouse,1035,924.9,110.1,178.1,-67.9,-26.6,18.3
2022-09-01,STORE ALL PRO,3000002698,Package Warehouse,11.8,7.2,4.6,1.8,2.8,4.6,3.6
2022-09-01,STORE ALL PRO,3000018542,Package Warehouse,1.4,0.7,0.7,0.2,0.5,0.8,0.6
2022-09-01,STORE ALL PRO,8000000015,Package Warehouse,30,19,11.1,6.7,4.3,4.2,7.3
2022-09-01,STORE ALL PRO,3000006787,Package Warehouse,153,154.2,-1.2,23.3,-24.5,-21.9,-14.4
2022-09-01,STORE ALL PRO,3000014429,Package Warehouse,97.3,114.6,-17.3,14.8,-32.2,-36.3,-24.9
2022-09-01,STORE ALL PRO,3000021807,Package Warehouse,68.7,71.8,-3.1,10.5,-13.6,-13.3,-9.7
2022-09-01,STORE ALL PRO,3000015942,Package Warehouse,414.7,299.1,115.6,63.2,52.4,101.4,73.5
2022-09-01,STORE ALL PRO,3000020580,Package Warehouse,373.1,264.4,108.7,55.4,53.3,94.2,74.7
2022-09-01,STORE ALL PRO,3000000735,Package Warehouse,279.8,506,-226.2,41.8,-268,-345.8,-229.6
2022-09-01,STORE ALL PRO,3000002162,Package Warehouse,263.5,179.3,84.2,40.2,44.1,78.8,55
2022-09-01,STORE ALL PRO,3000020764,Package Warehouse,58.4,41.8,16.6,13.2,3.4,3.9,8
2022-09-01,STORE ALL PRO,3000016576,Package Warehouse,506.4,330.3,176.1,120.4,55.8,55.7,87.7
2022-09-01,STORE ALL PRO,3000009456,Package Warehouse,187.1,119.7,67.4,39.1,28.2,30.1,43.8
2022-09-01,STORE ALL PRO,3000007677,Package Warehouse,32,23.3,8.7,6.3,2.3,2.9,5.4
2022-09-01,STORE ALL PRO,3000007728,Package Warehouse,10,5.5,4.5,2,2.5,2.7,3.3
2022-09-01,STORE ALL PRO,3000001618,Package Warehouse,146.6,122.4,24.1,28.9,-4.8,-2.4,5.8
2022-09-01,STORE ALL PRO,3000005193,Package Warehouse,949.1,674.3,274.8,187.8,87.1,99.9,216.2
2022-09-01,STORE ALL PRO,3000012293,Package Warehouse,23.5,16.1,7.5,5.1,2.3,2.5,3.7
2022-09-01,STORE ALL PRO,3000009257,Package Warehouse,143.7,112.6,31.2,32.1,-0.9,0.8,5.5
2022-09-01,STORE ALL PRO,3000019640,Package Warehouse,4.6,3.7,1,1,-0.1,-0.1,0.2
2022-09-01,RUNFAST GO,3000021892,Bulk Transportation,8,29,-20.9,1.7,-22.6,-27.2,-21.4
2022-09-01,RUNFAST GO,3000021894,Bulk Transportation,57.6,171.6,-114,9.7,-123.7,-125.3,-116.8
2022-09-01,RUNFAST GO,3000021893,Bulk Transportation,3.9,13.9,-10,1.2,-11.2,-13.2,-10.6
2022-09-01,RUNFAST GO,3000004561,Bulk Transportation,187.5,150,37.5,31.6,5.9,10.9,10.5
2022-09-01,RUNFAST GO,3000005135,Non Bulk Transport & Rental,50,32.9,17,6.5,10.6,9.2,14.1
2022-09-01,RUNFAST GO,3000005194,Non Bulk Transport & Rental,371.2,370.8,0.4,47.6,-47.2,-59.5,-10.7
2022-09-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,808.5,752.6,55.9,99.8,-43.9,-36.7,-25.9
2022-09-01,RUNFAST GO,3000004898,Non Bulk Transport & Rental,445.8,485,-39.3,57.3,-96.6,-135,-28.7
2022-09-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,174.2,162.5,11.7,22.3,-10.5,-17.3,7.8
2022-09-01,RUNFAST GO,3000002443,Non Bulk Transport & Rental,168.8,141.7,27.2,19.4,7.7,3.4,15.6
2022-09-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,169.9,168.3,1.6,16.5,-15,-20.7,-0.8
2022-09-01,RUNFAST GO,3000000758,Non Bulk Transport & Rental,60.2,62.5,-2.4,7.9,-10.2,-13.1,-3.4
2022-09-01,RUNFAST GO,3000004834,Non Bulk Transport & Rental,17.5,14.6,2.9,2.3,0.6,-0.7,4
2022-09-01,RUNFAST GO,3000005009,Non Bulk Transport & Rental,5.7,2.8,2.9,0.7,2.1,2.1,2.2
2022-09-01,RUNFAST GO,3000004465,Non Bulk Transport & Rental,99.2,74.9,24.3,12.8,11.5,9.3,19
2022-09-01,RUNFAST GO,3000002542,Non Bulk Transport & Rental,58.2,62.2,-4,7.6,-11.6,-13.5,-6.4
2022-09-01,RUNFAST GO,3000003715,Non Bulk Transport & Rental,13.5,12.3,1.2,1.7,-0.5,-2.5,2.6
2022-09-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,261.5,200.5,61,34,27,10,69.9
2022-09-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,50.8,58.3,-7.5,6.6,-14.1,-17.3,-3.8
2022-09-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,845.5,669,176.6,100.4,76.2,74.2,101.7
2022-09-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,30.6,28.6,2,4,-2,-3.2,1.3
2022-09-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,449.7,369.6,80.1,58.1,22,20.3,29.4
